Дата,Категория,Служба,Ранг,Имя,Год,Name,,,,
1/16/2022,Святой ,,Мчч.,"Спевсиппа, Елевсиппа, Мелевсиппа, бабки их Леониллы и с ними Неона, Турвона и Иовиллы.",161-180,"Speusippus, Eleusippus, and Meleusippus, their grandmother Leonilla, and with them Neon, Turbo, and the woman Jonilla (Jovilla).",,,,
1/16/2022,Святой ,,Мч.,Данакта чтеца.,II,Danax the Reader.,,,,
1/16/2022,Святой ,,Свт.,"Гонората, еп. Арльского.",429,Honoratus the bishop of Arles.,,,,
1/16/2022,Святой ,,Сщмч.,Иоанна Петтайя пресвитера.,1919,John priest.,,,,
1/17/2022,Святой ,,Прп.,Антония Великого.,356,Anthony the Great.,,,,
1/17/2022,Святой ,,Прп.,Антония Дымского.,1224,"Anthony, abbot of Dymsk.",,,,
1/17/2022,Святой ,,Прп.,Антония Черноезерского.,XVI,Anthony of Chernoezersk.,,,,
1/17/2022,Святой ,,Сщмч.,Виктора Европейцева пресвитера.,1931,Victor priest.,,,,
1/17/2022,Святой ,,Сщмч.,Павла Успенского пресвитера.,1938,Paul priest.,,,,
1/18/2022,Святой ,,0,"Свтт. Афанасия (373) и Кирилла (444), архиепископов Александрийских.",0,"Saint Hierarchs Athanasius the Great (373) and Cyril (444), archbishops of Alexandria.",,,,
1/18/2022,Святой ,,Прпп.,"схимонаха Кирилла и схимонахини Марии, родителей прп. Сергия Радонежского.",ок. 1337,"Cyril, schemamonk, and Maria, schemanun, parents of Venerable Sergiy of Radonezh.",,,,
1/18/2022,Святой ,,Прп.,"Афанасия Сяндемского, Вологодского.",1550,"Athanasius, abbot of Syanzhema, Vologodsk.",,,,
1/18/2022,Святой ,,Прав.,Афанасия Наволоцкого.,XVI-XVII,Athanasius of Novolok.,,,,
1/18/2022,Святой ,,Прп.,Маркиана Кирского.,ок. 388,Marcian of Cyrrhus.,,,,
1/18/2022,Святой ,,Сщмч.,Михаила Каргополова пресвитера.,1919,Michael priest.,,,,
1/18/2022,Святой ,,Сщмч.,Евгения Исадского пресвитера.,1930,Eugene priest.,,,,
1/18/2022,Святой ,,Сщмчч.,"Владимира Зубковича, Николая Красовского, Сергия Лебедева, Александра Русинова пресвитеров.",1938,"Vladimir, Nicholas, Sergiy and Alexander priests.",,,,
1/19/2022,Святой ,,Прп.,"Макария Великого, Египетского.",390-391,Macarius the Great of Egypt.,,,,
1/19/2022,Святой ,,Свт.,"Марка, архиеп. Ефесского.",1444,"Mark, archbishop of Ephesus",,,,
1/19/2022,Святой ,,Блж.,"Феодора, Христа ради юродивого, Новгородского.",1392,"Theodore of Novgorod, fool-for-Christ",,,,
1/19/2022,Святой ,,Прп.,"Макария Римлянина, Новгородского.",XVI,Macarius the Roman of Novgorod.,,,,
1/19/2022,Святой ,,Прп.,"Макария, постника Печерского, в Ближних пещерах.",XII,Macarius of the Kiev Caves.,,,,
1/19/2022,Святой ,,Прп.,"Макария, диакона Печерского, в Дальних пещерах.",XIII-XIV,"Macarius, deacon of the Kiev Caves.",,,,
1/19/2022,Святой ,,0,"Обретение мощей прп. Саввы Сторожевского, Звенигородского.",1652,"Opening of the relics of Venerable Savva of Storozhev, Zvenigorod.",,,,
1/19/2022,Святой ,,Мц.,Евфрасии девы.,303,"Euphrasia, virgin.",,,,
1/19/2022,Святой ,,Прп.,Макария Александрийского.,394-395,Macarius of Alexandria.,,,,
1/19/2022,Святой ,,Свт.,"Арсения, архиеп. Керкирского.",ок. 953,"Arsenius, archbishop of Kerkyra.",,,,
1/19/2022,Святой ,,Прп.,"Антония Марткопского, столпника (Груз.).",VI,Anthony the Stylite of Martqophi (Georgia).,,,,
1/19/2022,Святой ,,Сщмч.,Петра Скипетрова пресвитера.,1918,Peter priest.,,,,
1/19/2022,Святой ,,Сщмч.,Николая Восторгова пресвитера.,1930,Nicholas priest.,,,,
1/19/2022,Святой ,,Мч.,Феодора Гусева.,1940,Theodore.,,,,
1/19/2022,Особенность,,0,День интронизации Святейшего Патриарха Московского и всея Руси Кирилла.,0,The enthronement of His Holiness Patriarch Kirill of Moscow and All Russia,,,,
1/20/2022,Святой ,,Прп.,Евфимия Великого.,473,Euthymius the Great,,,,
1/20/2022,Святой ,,Прпп.,"Евфимия схимника и Лаврентия затворника, Печерских, в Дальних пещерах.",XIII-XIV,"Euthymius the schema monk, and Laurence the recluse, of the Kiev Caves.",,,,
1/20/2022,Святой ,,Прп.,"Евфимия Сянжемского, Вологодского.",ок. 1465,"Euthymius of Syanzhemsk, Vologda.",,,,
1/20/2022,Святой ,,Мчч.,"Инны, Пинны и Риммы.",I-II,"Inna, Pinna, and Rimma.",,,,
1/20/2022,Святой ,,Мчч.,"Васса, Евсевия, Евтихия и Василида.",303,"Bassus, Eusebius, Eutychius, and Basilides.",,,,
1/20/2022,Святой ,,Прп.,Евфимия исп. (Груз.).,1944,Euthymius confessor (Georgia).,,,,
1/20/2022,Святой ,,Сщмч.,Павла Добромыслова пресвитера.,1940,Paul priest.,,,,
1/21/2022,Святой ,,Прп.,Максима Исповедника.,662,Maximus the Confessor.,,,,
1/21/2022,Святой ,,Мч.,Неофита.,303-305,Neophytus.,,,,
1/21/2022,Святой ,,Мчч.,"Евгения, Кандида, Валериана и Акилы.",III ,"Eugene, Candidus, Valerian, and Aquila.",,,,
1/21/2022,Святой ,,Прп.,Максима Грека.,1556,Maximus the Greek.,,,,
1/21/2022,Святой ,,Мц.,Агнии девы.,ок.304,Agnes virgin.,,,,
1/21/2022,Святой ,,Прп.,Анастасия исп.,662,Anastasius confessor.,,,,
1/21/2022,Святой ,,Сщмч.,Илии Березовского пресвитера.,1938,Elias priest,,,,
1/21/2022,Икона,,0,"Ктиторской (IV) и именуемой «Отрада», или «Утешение» (807), Ватопедских икон Божией Матери.",0,"""Ktitorissa"" (4c.) and ""Comfort"" or ""Consolation"" (807) Vatopedi icons of Mother of God.",,,,
1/22/2022,Святой ,,Ап.,Тимофея.,ок. 96,Timothy.,,,,
1/22/2022,Святой ,,Прмч.,Анастасия Пе́рсянина.,628,Anastasius the Persian.,,,,
1/22/2022,Святой ,,Прп.,"Макария Жабынского, Белевского, чудотворца.",1623,"Macarius, abbot of Zhabyn, Belevsk, wonderworker.",,,,
1/22/2022,Святой ,,Прмч.,"Анастасия, диакона Печерского, в Ближних пещерах.",XII,Anastasius the Deacon of the Kiev Caves.,,,,
1/22/2022,Святой ,,Мчч.,"Мануила, Георгия, Петра, Леонтия епископов, Сиония, Гавриила, Иоанна, Леонта, Парода пресвитеров и прочих 377-ми.",ок. 817,"Manuel, George, Peter, Leontius, bishops; Sionius, Gabriel, John, Leontus, Parodus, presbyters; and 377 companions.",,,,
1/22/2023,Святой ,,Сщмчч.,Иоанна Успенского и Евфимия Тихонравова пресвитеров.,1938,John and Euthymius priests.,,,,
1/23/2023,Переходящий,,,Собор новомучеников и исповедников Церкви Русской,,New Martyrs and Confessors of Russian Church (movable holiday on the Sunday closest to January 25th).,,,,
1/23/2023,Переходящий,,,"Поминовение всех усопших, пострадавших в годину гонений за веру Христову",,Remembrance of all the departed who suffered in the years of persecution for faith in Christ.,,,,
1/23/2023,Святой ,,0,"Сщмч. Климента, еп. Анкирского, и мч. Агафангела.",312,"Clement, bishop of Ancyra, and Martyr Agathangel.",,,,
1/23/2022,Святой ,,Прп.,"Геннадия Костромского, Любимоградского.",1565,Gennadius of Kostroma.,,,,
1/23/2022,Собор святых,,Собор святых ,Костромской митрополии.,0,of Kostroma.,,,,
1/23/2022,Святой ,,Перенесение мощей,"свт. Феоктиста, архиеп. Новгородского.",1786,"of Sain Hierarch Theoctistus, archbishop of Novgorod.",,,,
1/23/2022,Святой ,,Прп.,Мавсимы Сирина.,IV,Mausimas the Syrian.,,,,
1/23/2022,Святой ,,Прп.,Саламана молчальника.,ок. 400,Salamanes silentiary.,,,,
1/23/2022,Святой ,,Свт.,"Павлина Милостивого, еп. Ноланского.",431,"Paulinus the Merciful, bishop of Nola.",,,,
1/23/2022,Собор святых,,0,Воспоминание VI Вселенского Собора.,680-681,Commemoration of the Sixth Ecumenical Council.,,,,
1/23/2022,Святой ,,0,"Прмч. Серафима Булашова, прмцц. Евдокии Кузьминовой и Екатерины Черкасовой, мц. Милицы Кувшиновой.",1938,"Venerable Martyrs Seraphim, Evdokia and Ecaterine, martyr Militsa.",,,,
1/24/2022,Святой ,,Прп.,Ксении.,V,Venerable Xenia.,,,,
1/24/2022,Святой ,,Блж.,Ксении Петербургской.,XIX,Xenia of Petersburg.,,,,
1/24/2022,Святой ,,Свт.,"Герасима Великопермского, Устьвымского.",1441,"Gerasimus, bishop of Perm.",,,,
1/24/2022,Святой ,,Мч.,Иоанна Казанского.,1529,John of Kazan.,,,,
1/24/2022,Святой ,,Мчч.,Вавилы Сицилийского и учеников его Тимофея и Агапия.,III,Babylas of Sicily and his two disciples Timothy and Agapius.,,,,
1/24/2022,Святой ,,Прп.,"Македония, сирийского пустынника.",ок. 420,"Macedonius, hermit of Syria.",,,,
1/24/2022,Святой ,,Перенесение мощей ,прмч. Анастасия Пе́рсянина.,VII,of Venerable Martyr Anastasius the Persian.,,,,
1/25/2022,Святой ,,Свт.,"Григория Богослова, архиеп. Константинопольского.",389,"Gregory the Theologian, archbishop of Constantinople.",,,,
1/25/2022,Святой ,,Прп.,"Анатолия Оптинского, Старшего.",1894,"Anatoliy of Optina, the Elder.",,,,
1/25/2022,Святой ,,Сщмч.,"Владимира, митр. Киевского.",1918,"Vladimir, metropolitan of Kiev.",,,,
1/25/2022,Святой ,,Свт.,"Моисея, архиеп. Новгородского.",1362,"Moses, archbishop of Novgorod.",,,,
1/25/2022,Святой ,,Мц.,"Филицаты и сыновей ее: Ианнуария, Феликса, Филиппа, Сильвана, Александра, Виталия и Марциала.",ок. 164,"Felicitas of Rome and seven sons: Januarius, Felix, Philip, Silvanus, Alexander, Vitalis, and Martial.",,,,
1/25/2022,Святой ,,Прп.,Поплия Сирийского.,ок. 380,"Publius, ascetic of Syria.",,,,
1/25/2022,Святой ,,Прп.,Мара певца.,ок. 430,Mares the singer.,,,,
1/25/2022,Святой ,,Сщмч.,"Петра, архиеп. Воронежского.",1929,Peter archbishop of Voronezh.,,,,
1/25/2022,Святой ,,Сщмч.,"Василия, еп. Прилукского.",1930,Basil bishop of Priluksk.,,,,
1/25/2022,Святой ,,Сщмч.,Стефана Грачева пресвитера и мч. Бориса Заварина.,1938,Stephen priest and martyr Boris.,,,,
1/25/2022,Икона,,0,"Иконы Божией Матери, именуемой «Утоли моя печали».",1640,"Icon of the Mother of God ""Assuage My Sorrow"".",,,,
1/26/2022,Святой ,,Прпп.,"Ксенофонта, супруги его Марии и сыновей их Аркадия и Иоанна.",V-VI,"Xenophon and his wife, Mary, and their two sons, Arcadius and John.",,,,
1/26/2022,Святой ,,Прп.,Ксенофонта Робейского.,1262,"Xenophon, abbot of Robeika.",,,,
1/26/2022,Святой ,,Мчч.,"Анании пресвитера, Петра, темничного стража, и с ними семи воинов.",295,"Ananias presbyter, Peter, and seven soldiers.",,,,
1/26/2022,Святой ,,Прп.,Симеона Ветхого.,ок. 390,"Symeon ""the Ancient"".",,,,
1/26/2022,Святой ,,Перенесение мощей ,"прп. Феодора, игумена Студийского.",845,"of Venerable Theodore, abbot of the Studion.",,,,
1/26/2022,Святой ,,Свт.,"Иосифа, архиеп. Солунского.",830,"Joseph, bishop of Thessalonica.",,,,
1/26/2022,Святой ,,Блгв.,"Давида IV Возобновителя (Строителя), царя Иверии и Абхазии (Груз.).",1125,"David IV the Builder, king of Iberia and Abkhazia (Georgia).",,,,
1/26/2022,Святой ,,Мч.,Иоанна Попова.,1938,John.,,,,
1/27/2022,Святой ,,Перенесение мощей ,святителя Иоанна Златоуста,438,of Saint Hierarch John Chrysostom.,,,,
1/28/2022,Святой ,,Прп.,Ефрема Сирина.,373-379,Ephraim the Syrian.,,,,
1/28/2022,Святой ,,Прп.,Феодосия Тотемского.,1568,Theodosius of Totma.,,,,
1/28/2022,Святой ,,Прп.,Ефрема Новоторжского.,1053,Ephraim of Novotorzhok,,,,
1/28/2022,Святой ,,Прп.,"Ефрема Печерского, еп. Переяславского.",ок. 1098,"Ephraim of Kiev Caves, bishop of Pereyaslavl.",,,,
1/28/2022,Святой ,,Прп.,Палладия пустынника.,IV,Palladius the Hermit.,,,,
1/28/2022,Святой ,,Прп.,"Исаака Сирина, еп. Ниневийского.",VII,"Isaac the Syrian, bishop of Nineveh.",,,,
1/28/2022,Святой ,,Св.,"Феодора Богоявленского исп., пресвитера.",1933,"Theodore confessor, priest.",,,,
1/28/2022,Святой ,,Сщмчч.,"Игнатия, еп. Скопинского, Владимира Пищулина пресвитера и прмч. Варфоломея Ратных, мц. Ольги Евдокимовой",1938,"Ignatius bishop of Skopinsk, Vladimir priest and Monk-martyr Bartholomeus, Martyr Olga.",,,,
1/28/2022,Святой ,,Прп.,Леонтия Стасевича исп.,1972,"Leontius, confessor.",,,,
1/28/2022,Икона,,0,Суморинской-То́темской иконы Божией Матери.,0,"""Sumorin Totma"" Icon of the Mother of God.",,,,
1/29/2022,Святой ,,Перенесение мощей,сщмч. Игнатия Богоносца.,107,of Hieromartyr Ignatius the God-bearer.,,,,
1/29/2022,Святой ,,Свт.,"Лаврентия, затворника Печерского, еп. Туровского, в Ближних пещерах.",1194,"Laurence, recluse of the Kiev Caves and bishop of Turov.",,,,
1/29/2022,Святой ,,Свтт. ,"Герасима (1441), Питирима (1455), Ионы (1470), епископов Великопермских, Устьвымских",1441-1467,"Gerasimus (1441), Pitirim (1455), and Jonah (1470), bishops of Perm.",,,,
1/29/2022,Собор святых,,Собор святых,Коми.,0,of Komi.,,,,
1/29/2022,Святой ,,Мчч.,"Романа, Иакова, Филофея, Иперихия, Авива, Иулиана и Паригория.",297,"Romanus, James, Philotheus, Hyperechius, Abibus, Julian and Paregorius.",,,,
1/29/2022,Святой ,,Мчч.,"Сильвана епископа, Луки диакона и Мокия чтеца.",312,"Silvanus, bishop of Emesa, Luke the Deacon, and Mocius (Mucius) the Reader.",,,,
1/29/2022,Собор святых,,Собор святых,Екатеринбургских.,0,of Yekaterinburg.,,,,
1/29/2022,Святой ,,Сщмчч.,"Иоанна Гранитова и Леонтия Клименко пресвитеров, Константина Зверева диакона и с ними 5-ти мучеников.",1920,"John and Leontius priests, Constantine deacon and with them 5 Martyrs.",,,,
1/30/2022,Святой ,,0,"Собор Вселенских учителей и святителей Василия Великого, Григория Богослова и Иоанна Златоустого.",0,"Synaxis of the Three Hierarchs: St. Basil the Great, St. Gregory the Theologian, and St. John Chrysostom.",,,,
1/30/2022,Святой ,,Сщмч.,"Ипполита и с ним мчч. Кенсорина, Савина и 20-ти мучеников: Хрисии (Златы) девы и прочих.",III,"Hippolytus, of Rome, and with him Martyrs Censorinus, Sabinus and 20 martyrs: Chryse (Zlata) virgin and others.",,,,
1/30/2022,Святой ,,Блж.,Пелагии Дивеевской.,1884,Pelagia of Diveyevo.,,,,
1/30/2022,Святой ,,Прп.,"Зинона, постника Печерского, в Дальних пещерах.",XIV,Zeno the Faster of the Kiev Caves.,,,,
1/30/2022,Святой ,,Прп.,"Зинона, ученика свт. Василия Великого.",V,"Zeno, disciple of St. Basil the Great.",,,,
1/30/2022,Святой ,,Мч.,Феофила Нового.,784,Theophilus the New.,,,,
1/30/2022,Святой ,,Блгв.,"Петра, царя Болгарского.",967,"Peter, king of Bulgaria.",,,,
1/30/2022,Святой ,,Сщмч.,Владимира Хрищеновича пресвитера.,1933,Vladimir priest.,,,,
1/30/2022,Святой ,,Мч.,Стефана Наливайко.,1945,Stephen.,,,,
1/31/2022,Святой ,,Бессребреников,"мчч. Кира и Иоанна и с ними мцц. Афанасии и дочерей ее Феодотии, Феоктисты и Евдоксии.",311,"Martyrs Cyrus and John and with them Athanasia and her daughters Theoctiste, Theodota, and Eudoxia.",,,,
1/31/2022,Святой ,,Свт.,"Никиты, затворника Печерского, еп. Новгородского.",1108,"Nicetas of the Kiev Caves, bishop of Novgorod.",,,,
1/31/2022,Святой ,,Мчч.,"Викторина, Виктора, Никифора, Клавдия, Диодора, Серапиона и Папия.",251,"Victorinus, Victor, Nicephorus, Claudius, Diodorus, Serapion, and Papias.",,,,
1/31/2022,Святой ,,Мц.,Трифены Кизической,0,Tryphaenes at Cyzicus.,,,,
1/31/2022,Переходящий,, Собор святых ,Пермской митрополии (переходящее празднование в 1-е воскресенье после 29 января).,0,of Perm Metropolia (movable holiday on the Sunday after January 29th).,,,,